ConstructorID,Position_Average,Point_Average
haas,17.363636363636363,9.181818181818182
alphatauri,15.1,30.9
alfa,16.444444444444443,10.222222222222221
racing_point,10.0,70.0
mclaren,6.8,154.6
williams,18.76923076923077,6.076923076923077
aston_martin,12.222222222222221,55.333333333333336
mercedes,4.2,253.25
alpine,10.875,62.125
renault,8.5,90.5
rb,16.0,15.333333333333334
sauber,22.0,0.0
red_bull,3.1,307.85
ferrari,7.090909090909091,181.77272727272728
